,Germany
Quantum algorithm,1
Quantum computing hardware,133
Quantum cryptography,13
Semantic Web,69
Silicon laser for communication,0
Smartphone,556
Spatial computing,0
Streaming television,8
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,25
Virtual reality applications,4
Visible Light Communication,13
wi-fi 6,1
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,0
Intelligent Knowledge Management,0
Aerogel,62
Amorphous metal,5
Bioplastic,30
Carbon nanotube,60
Conductive polymer,0
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,24
Gallium Nitride semiconductor,0
Graphene,226
Graphene Oxide dough,5
High Entropy Alloys,0
Magnetic nanoparticles,8
Magnetorheological fluid,0
Metal foam,2
Metamaterial,14
Multi-function structure,0
Nanocrystal,11
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,51
Self-cleaning surfaces,0
Shape Memory Polymer,1
Shape-memory alloy,7
Silicene,1
Single Photon Source,0
Superalloy,1
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,50
Zero-friction coating,3
16K video resolution,0
Augmented reality,103
Brain-computer interface,27
Computer-generated imagery,1
Detecting fake news online automatically,0
e-Reader,5
Extended Reality,0
hydrogen vehicle,2
Immersion (virtual reality),0
Mixed Reality,7
Video tracking,0
Virtual reality,204
3D Bioprinting,26
Anti-degenerative medicine,0
Apheresis,30
Artificial womb,0
Bio Ink,230
Biomimetic Nanocoagulation,0
Biosensor,29
Breath analysis,0
Cancer biomarker,7
Capsule endoscopy,3
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,3
Electroanalgesia,0
Electronic nose,3
Head transplant,0
Intelligent toilet,2
Jet injector,0
Lab-on-a-chip,18
Microelectromechanical systems,90
Microfluidics,51
Molecular electronics,1
Nanorobotics,0
Neuron Control,0
Neuroprosthetics,11
Nutritional genomics,0
Omni Processor,0
OOKP,0
Organ-on-a-Chip,9
Photoacoustic imaging,11
Plasma Medicine,37
Point of care automated analyser,0
Portable water purification,2
Powered exoskeleton,2
Protein Structure Prediction,0
Rapid diagnostic test,3
Real-time polymerase chain reaction,0
Regenerative Medicine,131
Sensory substitution,0
Single Cell Analysis,26
Stasis Chamber,0
Synthetic Blood,3
Theranostic Wound Care,85
Transdermal optical imaging,0
Active camouflage,1
Active noise control,0
Automatic identification of suspicious activity,0
Cloaking device,19
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,1
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,1
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,0
Homodyne detection,0
HPM weapons,3
Hypersonic weapon,3
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,6
Lidar,144
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,9
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,147
Quantum illumination,73
Quantum radar,5
Railgun,0
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,0
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,0
Biomining,1
Urban mining,0
Closed system drug transfer device,0
DNA repair,52
Electronic cigarette,32
Enzybiotics,0
Exhalation delivery system,0
Gene Editing,96
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,0
Microneedle drug delivery,9
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,19
Phage therapy,0
Receptor activated solely by a synthetic ligand,0
Senolytic,0
Stem-cell therapy,19
Structurally nanoengineered antimicrobial polypeptide polymers,0
Targeted drug delivery,3
Virotherapy,4
Air-launch-to-orbit,0
Artificial gravity,25
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,1
Launch loop,0
Mass driver,0
Mini-magnetosphere,0
Miniaturized satellite,0
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,0
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,0
Space gun,0
Spaceplane,3
StarTram,0
Suborbital launch,0
Autonomous Rail Rapid Transit,0
Autonomous vehicle,152
Backpack helicopter,0
Electric vehicle,405
Fuel cell,548
Fuel cell vehicle,104
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,2
Hyperloop,29
Intelligent transportation system,32
Jetpack,0
Maglev,29
PAV,0
Personal rapid transit,0
Physical Internet,0
Pulse detonation engine,0
Rapid transit,667
Rocket transportation,0
Supersonic transport,0
Urban rail transit,0
Vactrain,0
VTOL,24
hyper-personalized intelligence,1
neuromorphic engineering,0
solid-state battery,0
